stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,mw1990,mw2017,pw1990,pw2017
719120-99999,-0.03475643130815098,-0.12929070211816582,0.059777839501863855,0,42.107142857142854,48,42,306,319
688280-99999,0.34510125889436705,0.2203051088848909,0.4698974089038432,1,32.892857142857146,28,37,175,211
125660-99999,0.2435686918445597,0.12335522907955411,0.3637821546095653,1,28.571428571428573,28,36,259,256
029800-99999,-0.16447728516693705,-0.7695131327443836,0.4405585624105095,0,74.53571428571429,84,78,238,232
607150-99999,-0.3032293377121035,-0.46712939139802834,-0.1393292840261786,-1,40.0,41,37,308,300
488480-99999,-0.1431308155446127,-0.31321984952788273,0.02695821843865734,0,21.392857142857142,21,22,340,313
647080-99999,-1.0142309797482585,-1.8530066744179532,-0.17545528507856367,-1,34.5,22,29,32,89
877840-99999,-0.0769020251778832,-0.28764329071685035,0.133839240361084,0,58.32142857142857,65,63,277,299
746716-93808,-0.272851669403396,-0.35340317085129086,-0.19230016795550114,-1,28.035714285714285,33,27,250,216
477040-99999,0.16392993979201065,0.07668146602801873,0.25117841355600257,1,36.892857142857146,34,41,265,294
942130-99999,0.19266557197592862,-0.012798706942805577,0.3981298508946628,0,18.642857142857142,26,26,87,97
589680-99999,-0.3508483853311427,-0.4766130482419552,-0.2250837224203302,-1,29.214285714285715,41,26,72,59
679610-99999,-0.10235358511220712,-0.20976890816509863,0.005061737940684402,0,18.571428571428573,20,16,77,78
762863-99999,-0.6743295019157138,-0.9588242231993249,-0.3898347806321028,-1,35.214285714285715,50,33,116,129
769043-99999,-0.49863163656268306,-0.6965018918258252,-0.3007613812995409,-1,24.642857142857142,26,17,244,248
716000-99999,0.10153256704980818,-0.06818854503561628,0.27125367913523263,0,67.10714285714286,64,57,237,280
072350-99999,-0.3579638752052611,-0.4173175699429046,-0.29861018046761756,-1,29.714285714285715,33,25,249,242
274020-99999,-0.5339354132457647,-0.6130655211861586,-0.45480530530537067,-1,23.75,32,18,233,166
722700-23044,-0.011767925561029957,-0.0671039897749995,0.043568138652939584,0,38.607142857142854,38,39,219,245
943740-99999,0.16283524904214347,0.03682317362635551,0.28884732445793143,1,31.535714285714285,24,32,102,104
067830-99999,-0.35194307608101383,-0.4710212571781941,-0.23286489498383356,-1,25.714285714285715,28,25,313,311
060520-99999,-0.359058565955126,-0.6116523307707853,-0.10646480113946671,-1,69.57142857142857,71,71,253,263
442850-99999,0.8032293377121131,0.569109889405788,1.0373487860184383,1,17.535714285714285,13,33,343,13
043610-99999,0.10317460317461652,-0.3193639492731278,0.5257131556223609,0,51.892857142857146,63,54,92,79
943400-99999,0.3352490421456027,0.1035905181837643,0.5669075661074411,1,32.107142857142854,32,32,89,64
043410-99999,-0.03831417624521172,-0.20544436695884888,0.12881601446842544,0,46.785714285714285,47,43,355,353
570710-99999,-0.09304871373837631,-0.24063928136836105,0.05454185389160843,0,27.214285714285715,21,32,0,350
722030-12844,-0.18555008210180174,-0.35819508385193954,-0.012905080351663906,-1,42.0,53,43,100,106
969950-99999,-0.6048166392994017,-0.813912227449392,-0.3957210511494114,-1,46.92857142857143,61,43,133,128
973100-99999,-0.1116584564860393,-0.2937898810859731,0.07047296811389449,0,16.714285714285715,24,15,275,215
304930-99999,-0.17980295566502053,-0.4636204420693527,0.10401453073931166,0,15.392857142857142,26,17,353,357
702310-26510,-0.5134099616858273,-0.7018978498226746,-0.32492207354898006,-1,19.5,31,19,262,257
784570-99999,0.07252326217843261,-0.1739671989998614,0.3190137233567266,0,31.607142857142858,27,29,100,81
433290-99999,-0.45155993431856284,-0.5272821289262767,-0.37583773971084894,-1,12.5,17,8,185,124
386830-99999,0.059660645867542106,-0.05365303930573012,0.17297433104081433,0,36.42857142857143,34,39,4,356
855850-99999,1.0013683634373516,0.4864164190166954,1.5163203078580079,1,38.25,35,34,171,208
038530-99999,0.11330049261084107,-0.0015916874671094428,0.2281926726887916,0,38.07142857142857,39,39,252,237
857990-99999,-0.04488232074438811,-0.15372069070815292,0.06395604921937668,0,31.571428571428573,35,34,0,351
670200-99999,0.04351395730705823,-0.32581243270805604,0.41284034732217245,0,19.964285714285715,16,32,186,203
407060-99999,0.5703338806787135,0.4183860985378151,0.7222816628196118,1,34.07142857142857,23,37,81,62
117660-99999,0.1691297208538589,-0.0024996458705141555,0.340759087578232,0,41.142857142857146,36,47,245,244
576620-99999,0.4151614668856136,0.1935651231668982,0.636757810604329,1,18.464285714285715,16,26,22,359
416200-99999,0.7389162561576453,0.6021872368311072,0.8756452754841835,1,18.714285714285715,8,25,242,231
316550-99999,0.024356869184453706,-0.08383308508806335,0.13254682345697077,0,27.607142857142858,25,28,195,198
572790-99999,-0.2326217843459256,-0.31583592605379707,-0.14940764263805412,-1,18.785714285714285,22,18,78,81
942420-99999,0.3689107827038946,0.16183844160514865,0.5759831238026405,1,32.214285714285715,31,38,119,104
108530-99999,0.2216748768472938,0.04607932514580723,0.39727042854878036,1,24.642857142857142,22,33,266,262
167540-99999,0.24165298303229488,0.14096009321790193,0.3423458728466878,1,47.107142857142854,42,46,320,290
032400-99999,0.12944718117132414,0.028594861955366438,0.23029950038728186,1,49.964285714285715,52,50,239,237
716210-99999,-0.13628899835796407,-0.1999008715111041,-0.07267712520482403,-1,35.142857142857146,39,33,253,267
718160-99999,0.1644772851669436,0.06123901870238953,0.2677155516314977,1,41.75,41,43,269,281
260380-99999,-0.07334428024083159,-0.1665180433958803,0.019829482914217128,0,35.142857142857146,38,31,225,215
845640-99999,0.8817733990147871,0.52395059503277,1.2395962029968044,1,48.0,32,53,46,64
957270-99999,-0.5328407224959124,-0.9070406981837875,-0.15864074680803736,-1,40.464285714285715,36,25,343,67
071090-99999,-0.14230979748220562,-0.6879364470017693,0.403316852037358,0,47.0,58,44,270,263
339020-99999,-0.015325670498083116,-0.18853304333103146,0.15788170233486523,0,29.285714285714285,31,39,299,345
676730-99999,-0.5656814449918041,-0.8511736805211978,-0.28018920946241027,-1,24.464285714285715,25,11,76,72
645510-99999,0.3056923918992678,-2.160421254247087,2.7718060380456224,0,38.607142857142854,5,12,241,349
072990-99999,-0.06239737274220214,-0.11706670371256095,-0.00772804177184333,-1,25.785714285714285,26,27,240,254
561060-99999,0.2063492063492115,0.0672155994193381,0.3454828132790849,1,19.142857142857142,19,23,285,290
073350-99999,-0.19485495347564694,-0.2793925066258265,-0.11031740032546737,-1,37.285714285714285,39,34,246,240
701330-26616,-0.39244663382594824,-0.55893253560009,-0.22596073205180645,-1,51.5,58,50,100,104
407120-99999,0.7361795292829878,0.5785717519411833,0.8937873066247923,1,21.142857142857142,11,28,73,272
653350-99999,nan,nan,nan,0,11.481481481481481,13.0,18.0,138.0,186.0
233830-99999,0.19266557197592735,0.019631571987565294,0.36569957196428937,1,16.642857142857142,23,23,204,252
042310-99999,-0.03530377668308676,-0.07415868258187677,0.00355112921570324,0,37.75,39,37,46,61
167230-99999,-0.3223864258347016,-0.4913906815563557,-0.15338217011304758,-1,43.5,53,39,14,14
114570-99999,-0.06376573617952844,-0.19123673653070633,0.06370526417164946,0,35.17857142857143,38,33,242,256
483530-99999,0.22441160372195307,0.16562826626927596,0.2831949411746302,1,9.428571428571429,8,12,301,80
038915-99999,-0.703886152162027,-0.9633148480734696,-0.4444574562505844,-1,69.07142857142857,75,59,250,261
110750-99999,nan,nan,nan,0,20.814814814814813,nan,20.0,nan,296.0
031320-99999,-0.12233169129720467,-0.2599001519989762,0.015236769404566836,0,52.17857142857143,60,52,233,230
612850-99999,-0.014778325123155397,-0.29551028531295553,0.2659536350666447,0,13.642857142857142,11,13,17,314
434210-99999,-0.034209085933226094,-0.12018948225302079,0.0517713103865686,0,10.75,9,9,253,231
470390-99999,0.14148877941981766,-0.08437505227464029,0.36735261111427564,0,8.178571428571429,8,9,237,258
677650-99999,-0.052818828680897933,-0.1612380387388398,0.055600381377043914,0,20.75,22,19,67,72
308020-99999,0.18281335522715395,0.006170536130301468,0.35945617432400645,1,19.928571428571427,21,30,253,270
725330-14827,-0.10426929392446666,-0.1912724580534854,-0.01726612979544792,-1,40.964285714285715,44,42,243,244
714520-99999,-0.0437876299945244,-0.12151686086696592,0.033941600877917116,0,48.142857142857146,51,49,333,310
470690-99999,0.21592775041051307,0.04473230101622225,0.3871231998048039,1,22.892857142857142,21,34,35,324
764990-99999,0.31828133552272375,0.16058022049152731,0.4759824505539202,1,13.892857142857142,15,22,108,101
872170-99999,0.29720853858784724,0.015209725014055875,0.5792073521616385,1,21.857142857142858,11,17,202,198
125000-99999,0.31773399014779113,0.20525550720561964,0.43021247308996263,1,23.107142857142858,23,28,270,287
129600-99999,-0.35823754789272666,-0.46830922705456435,-0.248165868730889,-1,19.892857142857142,23,19,312,302
036830-99999,-0.11494252873563471,-0.23034271755219166,0.00045766008092223975,0,44.07142857142857,45,42,240,234
276650-99999,-0.26847290640394433,-0.40565223677277995,-0.13129357603510872,-1,22.75,27,26,245,222
621760-99999,0.029556650246306798,-0.15213036711398692,0.21124366760660052,0,33.214285714285715,34,39,356,325
299390-99999,-0.06704980842912472,-0.16540193445722046,0.03130231759897102,0,20.964285714285715,16,21,242,230
874160-99999,0.18089764641489098,0.08183822057300438,0.2799570722567776,1,17.678571428571427,16,17,152,164
703980-25308,-0.4244663382594469,-0.5178669909443041,-0.33106568557458965,-1,35.25,42,32,135,132
101360-99999,0.031746031746039016,-0.28760720127489103,0.35109926476696907,0,46.357142857142854,54,53,243,252
428400-99999,-0.21702244116037434,-0.3581941701214281,-0.07585071219932055,-1,13.821428571428571,18,13,254,254
722066-03853,0.14969896004378946,-0.06501556792003671,0.36441348800761564,0,37.75,35,41,78,93
172900-99999,-0.12917350848385276,-0.29452192587330955,0.03617490890560404,0,28.071428571428573,33,25,322,279
670370-99999,-0.9447181171319206,-1.261871474990441,-0.6275647592734002,-1,11.857142857142858,28,0,303,6
083060-99999,0.038314176245209,-0.09512176861009064,0.17175012110050863,0,31.428571428571427,28,30,230,232
