stationNumber,slope,lowBound,hightBound,slopeInt,meanWind,pw1990,pw2017,pwDiff,mw1990,mw1991,mw1992,mw1993,mw1994,mw1995,mw1996,mw1997,mw1998,mw1999,mw2000,mw2001,mw2002,mw2003,mw2004,mw2005,mw2006,mw2007,mw2008,mw2009,mw2010,mw2011,mw2012,mw2013,mw2014,mw2015,mw2016,mw2017
710740-99999,0.14586754241926658,-0.07121541368729575,0.36295049852582895,0,50.892857142857146,43,98,54.99999999999999,47,47,46,52,48,47,55,60,51,39,53,47,50,55,52,48,49,56,52,54,57,55,50,51,49,53,58,44
844250-99999,0.2881773399014743,-0.17240542670131936,0.7487601065042679,0,18.392857142857142,44,17,26.999999999999996,5,10,6,5,8,8,22,21,16,15,22,28,21,31,37,37,34,31,30,15,14,14,14,12,11,13,16,19
470550-99999,-0.06595511767925683,-0.2743315743565729,0.14242133899805925,0,19.678571428571427,264,273,9.0,20,22,20,20,20,24,18,20,23,30,22,19,21,18,18,18,17,14,13,15,13,15,13,18,24,25,25,26
042660-99999,0.18856048166393968,-0.18537333512241366,0.562494298450293,0,98.46428571428571,326,340,13.999999999999995,104,87,101,102,100,97,98,95,98,107,95,86,93,97,101,97,96,101,96,94,86,104,97,93,103,128,101,100
266660-99999,0.20443349753695578,0.05988825669737985,0.3489787383765317,1,29.75,234,238,4.000000000000005,35,31,30,25,25,26,23,26,27,28,27,27,30,32,32,32,29,31,35,29,29,30,29,29,31,33,36,36
722510-12924,-0.1702244116037202,-0.3147328505723488,-0.025715972635091594,-1,52.285714285714285,116,125,9.0,59,55,55,57,55,53,55,51,53,50,55,50,54,47,50,48,50,45,51,56,49,56,51,54,53,51,49,52
726387-14850,-0.628626163108926,-0.7720528878345848,-0.4851994383832673,-1,33.25,255,293,37.99999999999998,47,45,47,37,39,39,37,39,34,31,31,35,33,32,32,30,31,30,29,26,28,28,27,28,29,28,29,30
160210-99999,0.8314176245210891,0.5452317027063364,1.1176035463358418,1,24.714285714285715,152,144,8.00000000000001,19,19,16,14,15,18,16,32,19,21,23,24,18,19,15,12,14,24,34,36,35,33,38,35,36,35,35,37
111500-99999,0.3352490421456015,0.18925567192418274,0.4812424123670202,1,30.535714285714285,186,200,13.999999999999995,29,27,29,29,29,29,26,29,29,24,23,30,30,31,32,32,31,32,30,30,30,31,32,30,32,35,42,42
683500-99999,-0.6483305966064654,-0.7603267270751426,-0.5363344661377882,-1,29.464285714285715,350,38,47.999999999999986,41,36,43,39,35,35,36,30,30,32,28,30,31,30,25,28,26,27,27,27,27,22,24,23,23,24,24,22
415940-99999,0.5437876299945368,0.4082844491391302,0.6792908108499434,1,21.892857142857142,74,86,12.000000000000004,17,17,15,13,14,17,18,16,17,23,26,23,21,26,23,20,22,21,22,18,23,26,27,27,29,32,30,30
714350-99999,0.06102900930487409,-0.11887596369864681,0.240933982308395,0,22.392857142857142,255,273,18.0,24,28,25,24,26,25,17,16,17,13,16,18,21,24,25,23,23,25,23,23,26,27,22,23,24,24,22,23
766753-99999,0.23289545703339506,0.0030624241123170526,0.4627284899544731,1,21.035714285714285,130,216,86.0,22,17,20,14,7,15,24,13,24,31,21,29,18,19,22,20,22,26,18,21,26,23,26,25,20,18,24,24
762430-99999,-0.3872468527641044,-0.5756322350739104,-0.19886147045429847,-1,25.035714285714285,73,107,34.0,25,26,25,29,25,29,33,30,29,28,27,28,29,25,25,25,24,22,28,32,30,25,21,17,16,16,16,16
718900-99999,-0.0024630541871966116,-0.18093399955135112,0.1760078911769579,0,21.178571428571427,74,85,11.000000000000004,16,15,16,22,28,28,29,23,21,22,20,27,21,22,19,16,19,19,18,21,19,20,20,21,22,23,24,22
368590-99999,-0.32375478927203505,-0.4469418630955233,-0.20056771544854682,-1,19.321428571428573,88,170,82.00000000000001,24,24,26,23,22,23,21,16,21,23,24,23,23,17,17,17,17,16,17,16,14,14,13,16,19,18,19,18
769030-99999,0.08100711548988096,-0.10708012102336198,0.2690943520031239,0,17.285714285714285,320,216,104.0,23,23,22,21,19,15,14,13,12,14,12,11,10,12,16,19,16,17,16,18,18,19,20,20,20,21,22,21
296980-99999,-0.019430760810070655,-0.12075265593361394,0.08189113431347263,0,15.821428571428571,313,313,0.0,17,17,17,19,16,17,15,16,18,16,14,16,15,13,14,14,16,14,14,13,15,13,12,18,20,19,17,18
