stationNumber,slope,lowBound,hightBound,slopeInt,pw1972,pw2017
483570-99999,-0.13419673142152294,-0.18588011135319088,-0.082513351489855,-1,135,74
722310-12916,-0.08337958680234334,-0.14800902228200433,-0.018750151322682346,-1,78,121
702710-26425,-0.09281529448042106,-0.16181067281610145,-0.023819916144740647,-1,190,157
948420-99999,-0.2868948504471146,-0.3916418654262974,-0.18214783546793176,-1,287,292
943320-99999,0.34757940178846525,0.27856289864270295,0.41659590493422755,1,119,131
947910-99999,0.2376811594202879,0.1383084095599006,0.3370539092806752,1,185,253
483540-99999,0.12032069071846885,0.03380776791439595,0.20683361352254176,1,136,86
942030-99999,0.3388220783225402,0.23395418612596303,0.44368997051911735,1,249,245
702190-26615,-0.20598211532531485,-0.2894347810426052,-0.12252944960802446,-1,39,344
942550-99999,0.27745914276904005,0.1327873679121199,0.4221309176259602,1,154,139
723560-13968,-0.1690410114091882,-0.22560938372313655,-0.11247263909523986,-1,179,170
471100-99999,0.11094665433240787,0.053272840222776424,0.16862046844203932,1,279,293
949100-99999,0.32969472710453196,0.22182542534688873,0.43756402886217516,1,236,85
722595-13911,0.24643848288621542,0.15187106984675258,0.34100589592567826,1,166,168
945100-99999,0.3892075238976242,0.32048144303709714,0.45793360475815126,1,162,85
477710-99999,0.1396854764107294,0.09482059845749553,0.18455035436396328,1,340,313
489000-99999,0.24687018193030869,0.08160862334678184,0.4121317405138355,1,182,212
107520-99999,0.114030218933087,-0.0841101907682235,0.3121706286343975,0,253,248
700260-27502,0.14270736971939496,0.05894625490414458,0.22646848453464535,1,86,87
949750-99999,0.3675609004008622,0.30244399633163843,0.43267780447008597,1,291,302
723440-13964,-0.13413506012950943,-0.17481850691300171,-0.09345161334601716,-1,54,61
474300-99999,0.2529756398396527,0.18171332505940513,0.3242379546199003,1,260,293
722510-12924,-0.1272895467160028,-0.18878301492708088,-0.0657960785049247,-1,108,125
722550-12912,-0.12087573234659169,-0.18194430970884362,-0.059807154984339764,-1,111,131
476620-99999,-0.11853222325007717,-0.17305071695342789,-0.06401372954672646,-1,34,323
722610-22010,-0.06438482886216496,-0.14594984738770833,0.01718018966337842,0,120,109
474120-99999,0.3333333333333307,0.2622415804170317,0.4044250862496297,1,136,273
943130-99999,-0.18285538082022768,-0.3005878781947965,-0.06512288344565888,-1,112,86
946370-99999,0.19944495837187665,0.123664398452443,0.2752255182913103,1,95,102
064510-99999,-0.18174529756398228,-0.27466482263614755,-0.08882577249181703,-1,220,233
723630-23047,-0.08744989207523912,-0.13245750033279402,-0.04244228381768424,-1,199,196
949330-99999,0.1444958371877909,-0.0017921917128290166,0.29078386608841084,0,240,279
703500-25501,-0.23768115942028883,-0.3244820243104276,-0.15088029453015006,-1,325,335
944030-99999,0.28714153561517086,0.21408552249179608,0.36019754873854565,1,163,175
943000-99999,0.20573543015726126,0.12025221221658328,0.29121864809793924,1,175,185
703980-25308,-0.3613320999074909,-0.42108555132668574,-0.301578648488296,-1,128,132
723060-13722,-0.29651557200123246,-0.36156282078664814,-0.23146832321581678,-1,272,227
722530-12921,-0.13068146777674866,-0.210314802657024,-0.051048132896473294,-1,107,129
948650-99999,0.1252543940795553,0.053774922964997696,0.1967338651941129,1,266,276
949070-99999,0.3084181313598503,0.21181600226670438,0.4050202604529962,1,261,282
476710-99999,0.1926611162503837,0.14020481728356116,0.24511741521720626,1,5,32
948020-99999,-0.007153869873572305,-0.12414158805375922,0.1098338483066146,0,243,282
943120-99999,0.5144002466851658,0.4126383128359461,0.6161621805343855,1,357,315
725200-94823,-0.3423990132593259,-0.4011078368898885,-0.28369018962876336,-1,274,255
725090-14739,-0.16324390995991195,-0.2326655093721134,-0.0938223105477105,-1,293,266
946380-99999,-0.07789084181313516,-0.15775133263641777,0.00196964901014747,0,240,134
722906-93112,0.006413814369411269,-0.046389908316862384,0.05921753705568492,0,292,283
722650-23023,-0.16194881282762796,-0.22687512064480836,-0.09702250501044755,-1,160,165
722660-13962,-0.17311131668208368,-0.21774575044216987,-0.1284768829219975,-1,177,175
943740-99999,0.2141843971631202,0.1097820467631044,0.31858674756313604,1,112,104
703260-25503,-0.2077089115016955,-0.2828550386063269,-0.13256278439706412,-1,90,86
943800-99999,0.1388220783225419,0.0560225443140491,0.2216216123310347,1,105,95
911820-22521,-0.1773049645390074,-0.2537486566608355,-0.10086127241717929,-1,58,53
085090-99999,0.35541165587418827,0.24912097352728302,0.4617023382210935,1,307,248
725720-24127,-0.1971631205673746,-0.23537596821666557,-0.1589502729180836,-1,166,182
722970-23129,-0.30551958063521256,-0.3879636951912662,-0.2230754660791589,-1,239,248
484310-99999,0.021831637372800493,-0.04747523620542376,0.09113851095102474,0,245,91
942120-99999,0.06456984273820432,-0.06546909185045344,0.19460877732686208,0,96,89
949260-99999,0.283872957138451,0.1974834288172545,0.3702624854596475,1,324,332
947190-99999,nan,nan,nan,0,159.0,99.0
947760-99999,0.2703669441874802,0.20407541344830585,0.33665847492665457,1,193,262
722700-23044,0.029417206290471704,-0.027937932404334925,0.08677234498527833,0,256,245
475840-99999,0.032500770891149805,-0.007260107335033246,0.07226164911733285,0,215,211
722630-23034,-0.18156028368794216,-0.23972944600451357,-0.12339112137137076,-1,187,181
702610-26411,-0.49263028060437597,-0.5649257865572774,-0.4203347746514745,-1,351,14
083970-99999,-0.3211224175146432,-0.4471724031583245,-0.1950724318709619,-1,242,214
478170-99999,0.022510021584951592,-0.00823953285101182,0.05325957602091501,0,297,303
703080-25713,-0.2977489978415041,-0.3613389504576452,-0.234159045225363,-1,54,37
943330-99999,0.0835646006783833,-0.09722739175679042,0.264356593113557,0,121,123
488550-99999,0.20524205982115146,0.09120602658751156,0.3192780930547914,1,93,40
724640-93058,-0.22565525747764317,-0.29473369353107337,-0.15657682142421298,-1,18,354
722500-12919,-0.15448658649398544,-0.21027090465865308,-0.0987022683293178,-1,130,135
948930-99999,-0.15380820228183234,-0.40566506276469316,0.09804865820102848,0,275,287
947110-99999,0.22232500770890995,0.09019312344358432,0.3544568919742356,1,131,127
702670-26415,0.03922294172062857,-0.038603057965779466,0.1170489414070366,0,154,145
943670-99999,-0.03422756706752822,-0.1754621173244419,0.10700698318938545,0,117,132
723890-93193,-0.1684859697810655,-0.23194393918281653,-0.10502800037931447,-1,297,313
783670-11706,0.3118717237126106,0.2470593666326073,0.37668408079261395,1,88,51
722255-93842,-0.25223558433549104,-0.31237556940784406,-0.19209559926313802,-1,12,312
946010-99999,-0.059636139377120534,-0.16226723281084118,0.042994954056600115,0,210,193
476360-99999,0.030403946962688028,-0.009410405754736784,0.07021829968011284,0,321,319
943880-99999,-0.05599753314832023,-0.15352878959612637,0.0415337232994859,0,133,118
476350-99999,0.1858772741288916,0.14350197900046224,0.22825256925732096,1,295,313
727850-24157,-0.19062596361393663,-0.2532590934419441,-0.12799283378592918,-1,212,200
943400-99999,0.3435090965155716,0.2339507973037444,0.4530673957273988,1,89,64
478030-99999,-0.08430465618254646,-0.14839402778086713,-0.02021528458422578,-1,348,9
839810-99999,0.2983040394696268,0.14679613920493373,0.4498119397343199,1,300,75
948270-99999,0.41295097132284925,0.25746662373069473,0.5684353189150038,1,270,245
