stationNumber,slope,lowBound,hightBound,slopeInt,pw1985,pw1995
672830-99999,3.281818181818096,1.3301343916010522,5.23350197203514,1,174,115
634530-99999,2.0363636363635313,0.7212710022776712,3.3514562704493915,1,69,46
028670-99999,0.2909090909090959,-0.057012806886315104,0.6388309887045069,0,175,216
107450-99999,-0.25454545454542155,-1.1628293634697875,0.6537384543789443,0,271,28
915830-99999,0.5363636363636151,-0.7182926173970072,1.7910198901242373,0,141,123
362590-99999,-0.3363636363636431,-0.7628649959234888,0.09013772319620256,0,281,271
601150-99999,-0.21818181818180005,-0.7546283294750329,0.3182646931114328,0,324,320
546620-99999,-0.445454545454516,-0.952865085761581,0.06195599485254899,0,338,302
312570-99999,8.690909090908528,0.41594664977804996,16.965871532039007,1,320,220
153770-99999,0.4727272727272527,0.11285495505066329,0.8325995904038421,1,29,16
383580-99999,-0.2636363636363621,-0.4803027691015796,-0.04696995817114463,-1,240,42
014060-99999,-0.15454545454540103,-1.1566689772973875,0.8475780682065854,0,225,242
363250-99999,nan,nan,nan,0,288.0,nan
388860-99999,-0.7545454545454096,-1.1179909219429391,-0.39109998714788,-1,331,5
598380-99999,-0.20909090909089034,-1.0840398425421416,0.6658580243603608,0,50,61
916230-99999,-0.9727272727272012,-2.429979776140256,0.4845252306858536,0,86,77
206740-99999,0.6727272727272497,0.34226118721249116,1.0031933582420083,1,156,195
071790-34051,-0.2545454545454513,-0.48761619252481664,-0.02147471656608596,-1,199,142
567630-99999,0.07272727272726565,-0.2411099655464216,0.3865645110009529,0,186,173
845010-99999,-0.9818181818181531,-1.9044745641488676,-0.05916179948743838,-1,171,200
782680-99999,-1.145454545454501,-2.2419152136417297,-0.04899387726727267,-1,55,67
237110-99999,-0.7545454545453953,-1.2200312098757309,-0.28905969921505975,-1,249,206
702320-26516,-0.9090909090908661,-1.1781013861598595,-0.6400804320218728,-1,80,74
111300-99999,-0.20909090909088857,-0.6388849167982834,0.22070309861650628,0,51,303
710500-99999,-0.12727272727271344,-0.608297957778269,0.35375250323284213,0,271,284
201070-99999,-0.6909090909090554,-2.242992581166824,0.8611743993487133,0,103,290
467430-99999,-0.1999999999999753,-0.4921236755295559,0.09212367552960526,0,356,356
281350-99999,0.4181818181818313,-1.3963153642990174,2.2326790006626798,0,271,140
234110-99999,0.018181818181846054,-0.4290262641463005,0.4653899005099926,0,304,213
014170-99999,-0.1999999999999963,-0.30968034728440363,-0.09031965271558896,-1,177,227
834830-99999,-0.26363636363634524,-0.38985069861677196,-0.13742202865591852,-1,60,58
724400-13995,-0.3454545454545306,-0.7678039985297203,0.07689490762065904,0,186,189
723745-93139,-0.3999999999999888,-0.6150336285758975,-0.18496637142408018,-1,209,219
986530-99999,-0.43636363636359254,-1.054685074217106,0.1819578014899208,0,244,71
028070-99999,-1.3999999999999189,-1.998549783517035,-0.8014502164828027,-1,241,220
727845-24163,0.799999999999979,0.19784964915253267,1.4021503508474251,1,240,255
081810-99999,1.06363636363632,0.7442335437978902,1.3830391834747497,1,322,332
725480-94910,-0.41818181818180467,-0.8689483640068525,0.032584727643243105,0,274,292
484590-99999,-0.1181818181818084,-0.5150040982580437,0.278640461894427,0,228,220
377890-99999,-0.2454545454545367,-0.6652931465821837,0.17438405567311033,0,179,44
976820-99999,-0.9454545454544623,-1.7845719255245436,-0.10633716538438098,-1,328,348
565430-99999,0.08181818181816203,-0.41530088384634906,0.5789372474826731,0,203,215
527650-99999,-0.3999999999999686,-0.7524841229062154,-0.0475158770937219,-1,312,300
787833-99999,1.1727272727271698,-1.6803044316094482,4.025758977063788,0,351,60
080750-99999,-0.19090909090903097,-1.024830299932056,0.6430121181139941,0,105,93
722530-12921,-0.8818181818181774,-1.351324618645006,-0.41231174499134876,-1,114,103
870460-99999,0.28181818181818574,0.060856682546458596,0.5027796810899129,1,73,339
718800-99999,0.036363636363648144,-0.5299126083125151,0.6026398810398114,0,196,184
